,Unnamed: 0,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,0,-0.0256410256410256,12.47222222222222,-0.0256410256410256,0.2872054747054747,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
1,1,-0.0235042735042734,9.767094017094015,3.1965811965811968,0.2478632478632478,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,1,0,0
2,2,-0.0256410256410256,6.384615384615385,-0.0256410256410256,0.1153846153846153,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,0,1
3,3,-0.0256410256410256,5.493589743589743,5.012820512820512,0.2307692307692307,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
4,4,-0.0256410256410256,12.794871794871796,-0.0256410256410256,0.2756410256410256,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
5,5,-0.0213675213675213,11.5491452991453,8.940170940170939,0.5448717948717948,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,0,1
6,6,-0.0256410256410256,4.959401709401709,3.2136752136752142,0.1773504273504273,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
7,7,-0.0192307692307691,6.46153846153846,5.3247863247863245,0.3119658119658119,0.7435897435897434,0.0,0,0,1,0,1,1,0,1,0,0,1,0
8,8,-0.0213675213675213,8.534188034188034,3.2350427350427355,0.3333333333333333,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
9,9,-0.0235042735042734,27.41239316239316,23.41025641025641,0.7200854700854699,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,1,0
10,10,-0.0213675213675213,6.811965811965811,1.47008547008547,0.1239316239316239,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
11,11,-0.0213675213675213,5.316239316239315,3.9059829059829054,0.2072649572649572,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
12,12,-0.0213675213675213,6.54059829059829,17.294871794871796,0.4017094017094016,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
13,13,-0.0256410256410256,3.933760683760683,6.042735042735042,0.2179487179487179,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,1,0,0
14,14,-0.0213675213675213,2.75,2.2948717948717947,0.0106837606837607,0.2307692307692307,1.0,1,0,1,0,1,1,0,1,0,0,0,1
15,15,-0.0256410256410256,10.551282051282053,-0.0256410256410256,0.2414529914529914,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
16,16,-0.0235042735042734,7.658119658119658,-0.0256410256410256,0.188034188034188,0.4871794871794871,1.0,1,0,1,1,0,0,1,1,0,0,0,1
17,17,-0.0256410256410256,7.474358974358974,-0.0256410256410256,0.1367521367521367,0.7435897435897434,0.0,0,1,0,1,0,1,0,1,0,0,0,1
18,18,-0.0256410256410256,10.416666666666664,-0.0256410256410256,0.2585470085470085,0.7435897435897434,1.0,0,0,1,0,1,0,1,1,0,1,0,0
19,19,-0.0256410256410256,5.529914529914529,7.452991452991453,0.22008547008547,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
20,20,-0.0256410256410256,16.34188034188034,-0.0256410256410256,0.1965811965811965,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,0,0,1
21,21,-0.0235042735042734,12.698717948717947,11.993589743589745,0.6474358974358975,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
22,22,-0.0256410256410256,5.529914529914529,4.057692307692308,0.2222222222222222,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,0,1,0
23,23,-0.0213675213675213,7.164529914529912,4.070512820512819,0.2136752136752137,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,1,0,0
24,24,-0.0235042735042734,7.916666666666666,6.224358974358974,0.2970085470085469,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,1,0
25,25,-0.0256410256410256,20.4017094017094,-0.0256410256410256,0.3824786324786325,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,1,0
26,26,-0.0256410256410256,5.955128205128204,4.788461538461537,0.2350427350427349,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,1,0
27,27,-0.0213675213675213,9.004273504273504,2.1965811965811963,0.2094017094017094,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
28,28,-0.0256410256410256,3.055555555555556,-0.0256410256410256,0.0491452991452992,0.7435897435897434,1.0,0,0,1,1,0,0,1,1,0,0,0,1
29,29,-0.0213675213675213,7.987179487179487,4.425213675213675,0.2307692307692307,0.7435897435897434,1.0,1,1,0,1,0,1,0,1,0,0,1,0
30,30,-0.0235042735042734,8.876068376068375,7.1730769230769225,0.4038461538461538,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,0,1
31,31,-0.0256410256410256,6.741452991452991,-0.0256410256410256,0.1324786324786324,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,0,0,1
32,32,-0.0235042735042734,9.999999999999998,-0.0256410256410256,0.2008547008547008,0.7435897435897434,1.0,0,0,1,1,0,1,0,0,1,1,0,0
33,33,-0.0256410256410256,7.452991452991453,3.5363247863247853,0.2179487179487179,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,1,0
34,34,-0.0192307692307691,26.68376068376068,6.384615384615385,0.6581196581196581,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,1,0,0
35,35,-0.0256410256410256,4.835470085470085,4.39102564102564,0.2872054747054747,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
36,36,-0.0256410256410256,3.88034188034188,2.816239316239316,0.188034188034188,0.7435897435897434,0.0,0,0,1,0,1,1,0,1,0,0,0,1
37,37,-0.0256410256410256,7.809829059829058,3.091880341880342,0.282051282051282,0.7435897435897434,1.0,1,1,0,0,1,1,0,1,0,0,1,0
38,38,-0.0256410256410256,8.876068376068375,15.38034188034188,0.3675213675213675,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
39,39,-0.0256410256410256,7.982905982905982,3.538461538461537,0.2094017094017094,0.7435897435897434,1.0,1,0,1,1,0,0,1,1,0,0,1,0
40,40,-0.0256410256410256,7.666666666666666,-0.0256410256410256,0.1452991452991453,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,0,0,1
41,41,-0.0256410256410256,3.82051282051282,2.566239316239316,0.0747863247863247,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
42,42,-0.0256410256410256,5.102564102564102,-0.0256410256410256,0.1346153846153846,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
43,43,-0.0256410256410256,8.395299145299145,4.965811965811965,0.2606837606837607,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,1,0
44,44,-0.0256410256410256,10.006410256410255,-0.0256410256410256,0.1794871794871795,0.7435897435897434,1.0,1,0,1,0,1,0,1,0,1,0,0,1
