,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,12.472222222222221,-0.025641025641025623,0.2872054747054747,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
1,9.767094017094015,3.1965811965811968,0.24786324786324784,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,1,0,0
2,6.384615384615385,-0.025641025641025623,0.11538461538461539,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,0,1
3,5.493589743589743,5.012820512820512,0.23076923076923078,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
4,12.794871794871796,-0.025641025641025623,0.2756410256410256,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
5,11.5491452991453,8.940170940170939,0.5448717948717948,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,0,1
6,4.959401709401709,3.2136752136752142,0.17735042735042733,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
7,6.46153846153846,5.3247863247863245,0.3119658119658119,0.7435897435897434,0.0,0,0,1,0,1,1,0,1,0,0,1,0
8,8.534188034188034,3.2350427350427355,0.3333333333333333,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
9,27.41239316239316,23.410256410256412,0.7200854700854699,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,1,0
10,6.811965811965811,1.47008547008547,0.12393162393162394,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
11,5.316239316239315,3.9059829059829054,0.20726495726495728,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
12,6.54059829059829,17.294871794871796,0.4017094017094016,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
13,3.933760683760683,6.042735042735042,0.21794871794871792,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,1,0,0
14,2.75,2.2948717948717947,0.010683760683760705,0.23076923076923078,1.0,1,0,1,0,1,1,0,1,0,0,0,1
15,10.551282051282051,-0.025641025641025623,0.24145299145299143,0.7435897435897434,1.0,1,0,1,1,0,1,0,1,0,0,0,1
16,7.658119658119658,-0.025641025641025623,0.18803418803418806,0.48717948717948717,1.0,1,0,1,1,0,0,1,1,0,0,0,1
17,7.474358974358974,-0.025641025641025623,0.13675213675213677,0.7435897435897434,0.0,0,1,0,1,0,1,0,1,0,0,0,1
18,10.416666666666664,-0.025641025641025623,0.2585470085470085,0.7435897435897434,1.0,0,0,1,0,1,0,1,1,0,1,0,0
19,5.529914529914529,7.452991452991453,0.22008547008547008,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
20,16.34188034188034,-0.025641025641025623,0.19658119658119658,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,0,0,1
21,12.698717948717947,11.993589743589743,0.6474358974358975,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,0,1
22,5.529914529914529,4.0576923076923075,0.2222222222222222,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,0,1,0
23,7.164529914529912,4.070512820512819,0.2136752136752137,0.7435897435897434,0.0,0,0,1,0,1,0,1,1,0,1,0,0
24,7.916666666666666,6.224358974358974,0.29700854700854695,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,1,0
25,20.4017094017094,-0.025641025641025623,0.3824786324786325,0.7435897435897434,1.0,1,0,1,0,1,1,0,0,1,0,1,0
26,5.955128205128204,4.788461538461537,0.23504273504273498,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,1,0
27,9.004273504273504,2.1965811965811963,0.2094017094017094,0.7435897435897434,1.0,1,0,1,0,1,0,1,1,0,0,0,1
28,3.055555555555556,-0.025641025641025623,0.0491452991452992,0.7435897435897434,1.0,0,0,1,1,0,0,1,1,0,0,0,1
29,7.987179487179487,4.425213675213675,0.23076923076923078,0.7435897435897434,1.0,1,1,0,1,0,1,0,1,0,0,1,0
30,8.876068376068375,7.1730769230769225,0.40384615384615385,0.7435897435897434,1.0,0,0,1,0,1,1,0,1,0,0,0,1
31,6.741452991452991,-0.025641025641025623,0.13247863247863248,0.7435897435897434,1.0,0,0,1,1,0,1,0,1,0,0,0,1
32,9.999999999999998,-0.025641025641025623,0.20085470085470086,0.7435897435897434,1.0,0,0,1,1,0,1,0,0,1,1,0,0
33,7.452991452991453,3.5363247863247853,0.21794871794871792,0.7435897435897434,1.0,1,0,1,0,1,1,0,1,0,0,1,0
